Zone Name,Colony Name,Street No,Street Name,Location Name,Location Type,Location Node No (on street),Location ID,X Coordinate (m),Y Coordinate (m),Connected To Zone,Connected To Colony,Connected To Street,Connected To Street No,Connected To Node No,Connected Street Node ID,Connected Node X (m),Connected Node Y (m),Edge Weight (m)
"zone1","gulberg-M4",2,"gulberg-M4 - Street 2","Home 11","home",4,"zone1_gulberg-M4_S2_Loc4",-1497,914,"zone1","gulberg-M4","gulberg-M4 - Street 2",2,4,"zone1_gulberg-M4_S2_N4",-1497,894,20
"zone1","gulberg-M4",2,"gulberg-M4 - Street 2","Home 12","home",5,"zone1_gulberg-M4_S2_Loc5",-1475,914,"zone1","gulberg-M4","gulberg-M4 - Street 2",2,5,"zone1_gulberg-M4_S2_N5",-1475,894,20
"zone1","gulberg-M4",2,"gulberg-M4 - Street 2","Home 13","home",6,"zone1_gulberg-M4_S2_Loc6",-1452,914,"zone1","gulberg-M4","gulberg-M4 - Street 2",2,6,"zone1_gulberg-M4_S2_N6",-1452,894,20
"zone1","gulberg-M4",2,"gulberg-M4 - Street 2","Mall","mall",7,"zone1_gulberg-M4_S2_Loc7",-1430,914,"zone1","gulberg-M4","gulberg-M4 - Street 2",2,7,"zone1_gulberg-M4_S2_N7",-1430,894,20
"zone1","gulberg-M4",2,"gulberg-M4 - Street 2","Home 14","home",8,"zone1_gulberg-M4_S2_Loc8",-1408,914,"zone1","gulberg-M4","gulberg-M4 - Street 2",2,8,"zone1_gulberg-M4_S2_N8",-1408,894,20
"zone1","gulberg-M4",2,"gulberg-M4 - Street 2","Home 15","home",9,"zone1_gulberg-M4_S2_Loc9",-1386,914,"zone1","gulberg-M4","gulberg-M4 - Street 2",2,9,"zone1_gulberg-M4_S2_N9",-1386,894,20
"zone1","gulberg-M4",3,"gulberg-M4 - Street 3","Home 16","home",2,"zone1_gulberg-M4_S3_Loc2",-1541,874,"zone1","gulberg-M4","gulberg-M4 - Street 3",3,2,"zone1_gulberg-M4_S3_N2",-1541,854,20
"zone1","gulberg-M4",3,"gulberg-M4 - Street 3","Home 17","home",3,"zone1_gulberg-M4_S3_Loc3",-1519,874,"zone1","gulberg-M4","gulberg-M4 - Street 3",3,3,"zone1_gulberg-M4_S3_N3",-1519,854,20
"zone1","gulberg-M4",3,"gulberg-M4 - Street 3","Home 18","home",4,"zone1_gulberg-M4_S3_Loc4",-1497,874,"zone1","gulberg-M4","gulberg-M4 - Street 3",3,4,"zone1_gulberg-M4_S3_N4",-1497,854,20
"zone1","gulberg-M4",3,"gulberg-M4 - Street 3","Home 19","home",5,"zone1_gulberg-M4_S3_Loc5",-1475,874,"zone1","gulberg-M4","gulberg-M4 - Street 3",3,5,"zone1_gulberg-M4_S3_N5",-1475,854,20
"zone1","gulberg-M4",3,"gulberg-M4 - Street 3","Home 20","home",6,"zone1_gulberg-M4_S3_Loc6",-1452,874,"zone1","gulberg-M4","gulberg-M4 - Street 3",3,6,"zone1_gulberg-M4_S3_N6",-1452,854,20
"zone1","gulberg-M4",3,"gulberg-M4 - Street 3","Home 21","home",7,"zone1_gulberg-M4_S3_Loc7",-1430,874,"zone1","gulberg-M4","gulberg-M4 - Street 3",3,7,"zone1_gulberg-M4_S3_N7",-1430,854,20
"zone1","gulberg-M4",3,"gulberg-M4 - Street 3","Home 22","home",8,"zone1_gulberg-M4_S3_Loc8",-1408,874,"zone1","gulberg-M4","gulberg-M4 - Street 3",3,8,"zone1_gulberg-M4_S3_N8",-1408,854,20
"zone1","gulberg-M4",3,"gulberg-M4 - Street 3","Home 23","home",9,"zone1_gulberg-M4_S3_Loc9",-1386,874,"zone1","gulberg-M4","gulberg-M4 - Street 3",3,9,"zone1_gulberg-M4_S3_N9",-1386,854,20
"zone1","gulberg-M4",4,"gulberg-M4 - Street 4","Home 24","home",2,"zone1_gulberg-M4_S4_Loc2",-1541,834,"zone1","gulberg-M4","gulberg-M4 - Street 4",4,2,"zone1_gulberg-M4_S4_N2",-1541,814,20
"zone1","gulberg-M4",4,"gulberg-M4 - Street 4","Home 25","home",3,"zone1_gulberg-M4_S4_Loc3",-1519,834,"zone1","gulberg-M4","gulberg-M4 - Street 4",4,3,"zone1_gulberg-M4_S4_N3",-1519,814,20
"zone1","gulberg-M4",4,"gulberg-M4 - Street 4","Home 26","home",4,"zone1_gulberg-M4_S4_Loc4",-1497,834,"zone1","gulberg-M4","gulberg-M4 - Street 4",4,4,"zone1_gulberg-M4_S4_N4",-1497,814,20
"zone1","gulberg-M4",4,"gulberg-M4 - Street 4","Home 27","home",5,"zone1_gulberg-M4_S4_Loc5",-1475,834,"zone1","gulberg-M4","gulberg-M4 - Street 4",4,5,"zone1_gulberg-M4_S4_N5",-1475,814,20
"zone1","gulberg-M4",4,"gulberg-M4 - Street 4","Home 28","home",6,"zone1_gulberg-M4_S4_Loc6",-1452,834,"zone1","gulberg-M4","gulberg-M4 - Street 4",4,6,"zone1_gulberg-M4_S4_N6",-1452,814,20
"zone1","gulberg-M4",4,"gulberg-M4 - Street 4","Home 29","home",7,"zone1_gulberg-M4_S4_Loc7",-1430,834,"zone1","gulberg-M4","gulberg-M4 - Street 4",4,7,"zone1_gulberg-M4_S4_N7",-1430,814,20
"zone1","gulberg-M4",4,"gulberg-M4 - Street 4","Home 30","home",8,"zone1_gulberg-M4_S4_Loc8",-1408,834,"zone1","gulberg-M4","gulberg-M4 - Street 4",4,8,"zone1_gulberg-M4_S4_N8",-1408,814,20
"zone1","gulberg-M4",4,"gulberg-M4 - Street 4","Home 31","home",9,"zone1_gulberg-M4_S4_Loc9",-1386,834,"zone1","gulberg-M4","gulberg-M4 - Street 4",4,9,"zone1_gulberg-M4_S4_N9",-1386,814,20
"zone1","gulberg-M4",5,"gulberg-M4 - Street 5","Home 32","home",2,"zone1_gulberg-M4_S5_Loc2",-1541,794,"zone1","gulberg-M4","gulberg-M4 - Street 5",5,2,"zone1_gulberg-M4_S5_N2",-1541,774,20
"zone1","gulberg-M4",5,"gulberg-M4 - Street 5","Home 33","home",3,"zone1_gulberg-M4_S5_Loc3",-1519,794,"zone1","gulberg-M4","gulberg-M4 - Street 5",5,3,"zone1_gulberg-M4_S5_N3",-1519,774,20
"zone1","gulberg-M4",5,"gulberg-M4 - Street 5","Home 34","home",4,"zone1_gulberg-M4_S5_Loc4",-1497,794,"zone1","gulberg-M4","gulberg-M4 - Street 5",5,4,"zone1_gulberg-M4_S5_N4",-1497,774,20
"zone1","gulberg-M4",5,"gulberg-M4 - Street 5","School","school",5,"zone1_gulberg-M4_S5_Loc5",-1475,794,"zone1","gulberg-M4","gulberg-M4 - Street 5",5,5,"zone1_gulberg-M4_S5_N5",-1475,774,20
"zone1","gulberg-M4",5,"gulberg-M4 - Street 5","Home 35","home",6,"zone1_gulberg-M4_S5_Loc6",-1452,794,"zone1","gulberg-M4","gulberg-M4 - Street 5",5,6,"zone1_gulberg-M4_S5_N6",-1452,774,20
"zone1","gulberg-M4",5,"gulberg-M4 - Street 5","Home 36","home",7,"zone1_gulberg-M4_S5_Loc7",-1430,794,"zone1","gulberg-M4","gulberg-M4 - Street 5",5,7,"zone1_gulberg-M4_S5_N7",-1430,774,20
"zone1","gulberg-M4",5,"gulberg-M4 - Street 5","Home 37","home",8,"zone1_gulberg-M4_S5_Loc8",-1408,794,"zone1","gulberg-M4","gulberg-M4 - Street 5",5,8,"zone1_gulberg-M4_S5_N8",-1408,774,20
"zone1","gulberg-M4",5,"gulberg-M4 - Street 5","Home 38","home",9,"zone1_gulberg-M4_S5_Loc9",-1386,794,"zone1","gulberg-M4","gulberg-M4 - Street 5",5,9,"zone1_gulberg-M4_S5_N9",-1386,774,20
"zone1","gulberg-M4",6,"gulberg-M4 - Street 6","Home 39","home",2,"zone1_gulberg-M4_S6_Loc2",-1541,754,"zone1","gulberg-M4","gulberg-M4 - Street 6",6,2,"zone1_gulberg-M4_S6_N2",-1541,734,20
"zone1","gulberg-M4",6,"gulberg-M4 - Street 6","Hospital","hospital",3,"zone1_gulberg-M4_S6_Loc3",-1519,754,"zone1","gulberg-M4","gulberg-M4 - Street 6",6,3,"zone1_gulberg-M4_S6_N3",-1519,734,20
"zone1","gulberg-M4",6,"gulberg-M4 - Street 6","Home 40","home",4,"zone1_gulberg-M4_S6_Loc4",-1497,754,"zone1","gulberg-M4","gulberg-M4 - Street 6",6,4,"zone1_gulberg-M4_S6_N4",-1497,734,20
"zone1","gulberg-M4",6,"gulberg-M4 - Street 6","Home 41","home",5,"zone1_gulberg-M4_S6_Loc5",-1475,754,"zone1","gulberg-M4","gulberg-M4 - Street 6",6,5,"zone1_gulberg-M4_S6_N5",-1475,734,20
"zone1","gulberg-M4",6,"gulberg-M4 - Street 6","Home 42","home",6,"zone1_gulberg-M4_S6_Loc6",-1452,754,"zone1","gulberg-M4","gulberg-M4 - Street 6",6,6,"zone1_gulberg-M4_S6_N6",-1452,734,20
"zone1","gulberg-M4",6,"gulberg-M4 - Street 6","Home 43","home",7,"zone1_gulberg-M4_S6_Loc7",-1430,754,"zone1","gulberg-M4","gulberg-M4 - Street 6",6,7,"zone1_gulberg-M4_S6_N7",-1430,734,20
"zone1","gulberg-M4",6,"gulberg-M4 - Street 6","Home 44","home",8,"zone1_gulberg-M4_S6_Loc8",-1408,754,"zone1","gulberg-M4","gulberg-M4 - Street 6",6,8,"zone1_gulberg-M4_S6_N8",-1408,734,20
"zone1","gulberg-M4",6,"gulberg-M4 - Street 6","Home 45","home",9,"zone1_gulberg-M4_S6_Loc9",-1386,754,"zone1","gulberg-M4","gulberg-M4 - Street 6",6,9,"zone1_gulberg-M4_S6_N9",-1386,734,20
"zone1","gulberg-M3",1,"gulberg-M3 - Street 1","Home 1","home",2,"zone1_gulberg-M3_S1_Loc2",-1841,954,"zone1","gulberg-M3","gulberg-M3 - Street 1",1,2,"zone1_gulberg-M3_S1_N2",-1841,934,20
"zone1","gulberg-M3",1,"gulberg-M3 - Street 1","Home 2","home",3,"zone1_gulberg-M3_S1_Loc3",-1819,954,"zone1","gulberg-M3","gulberg-M3 - Street 1",1,3,"zone1_gulberg-M3_S1_N3",-1819,934,20
"zone1","gulberg-M3",1,"gulberg-M3 - Street 1","Home 3","home",4,"zone1_gulberg-M3_S1_Loc4",-1797,954,"zone1","gulberg-M3","gulberg-M3 - Street 1",1,4,"zone1_gulberg-M3_S1_N4",-1797,934,20
"zone1","gulberg-M3",1,"gulberg-M3 - Street 1","School","school",5,"zone1_gulberg-M3_S1_Loc5",-1775,954,"zone1","gulberg-M3","gulberg-M3 - Street 1",1,5,"zone1_gulberg-M3_S1_N5",-1775,934,20
"zone1","gulberg-M3",1,"gulberg-M3 - Street 1","Home 4","home",6,"zone1_gulberg-M3_S1_Loc6",-1752,954,"zone1","gulberg-M3","gulberg-M3 - Street 1",1,6,"zone1_gulberg-M3_S1_N6",-1752,934,20
"zone1","gulberg-M3",1,"gulberg-M3 - Street 1","Home 5","home",7,"zone1_gulberg-M3_S1_Loc7",-1730,954,"zone1","gulberg-M3","gulberg-M3 - Street 1",1,7,"zone1_gulberg-M3_S1_N7",-1730,934,20
"zone1","gulberg-M3",1,"gulberg-M3 - Street 1","Home 6","home",8,"zone1_gulberg-M3_S1_Loc8",-1708,954,"zone1","gulberg-M3","gulberg-M3 - Street 1",1,8,"zone1_gulberg-M3_S1_N8",-1708,934,20
"zone1","gulberg-M3",1,"gulberg-M3 - Street 1","Home 7","home",9,"zone1_gulberg-M3_S1_Loc9",-1686,954,"zone1","gulberg-M3","gulberg-M3 - Street 1",1,9,"zone1_gulberg-M3_S1_N9",-1686,934,20
"zone1","gulberg-M3",2,"gulberg-M3 - Street 2","Home 8","home",2,"zone1_gulberg-M3_S2_Loc2",-1841,914,"zone1","gulberg-M3","gulberg-M3 - Street 2",2,2,"zone1_gulberg-M3_S2_N2",-1841,894,20
"zone1","gulberg-M3",2,"gulberg-M3 - Street 2","Home 9","home",3,"zone1_gulberg-M3_S2_Loc3",-1819,914,"zone1","gulberg-M3","gulberg-M3 - Street 2",2,3,"zone1_gulberg-M3_S2_N3",-1819,894,20
"zone1","gulberg-M3",2,"gulberg-M3 - Street 2","Home 10","home",4,"zone1_gulberg-M3_S2_Loc4",-1797,914,"zone1","gulberg-M3","gulberg-M3 - Street 2",2,4,"zone1_gulberg-M3_S2_N4",-1797,894,20
"zone1","gulberg-M3",2,"gulberg-M3 - Street 2","Home 11","home",5,"zone1_gulberg-M3_S2_Loc5",-1775,914,"zone1","gulberg-M3","gulberg-M3 - Street 2",2,5,"zone1_gulberg-M3_S2_N5",-1775,894,20
"zone1","gulberg-M3",2,"gulberg-M3 - Street 2","Home 12","home",6,"zone1_gulberg-M3_S2_Loc6",-1752,914,"zone1","gulberg-M3","gulberg-M3 - Street 2",2,6,"zone1_gulberg-M3_S2_N6",-1752,894,20
"zone1","gulberg-M3",2,"gulberg-M3 - Street 2","Home 13","home",7,"zone1_gulberg-M3_S2_Loc7",-1730,914,"zone1","gulberg-M3","gulberg-M3 - Street 2",2,7,"zone1_gulberg-M3_S2_N7",-1730,894,20
"zone1","gulberg-M3",2,"gulberg-M3 - Street 2","Home 14","home",8,"zone1_gulberg-M3_S2_Loc8",-1708,914,"zone1","gulberg-M3","gulberg-M3 - Street 2",2,8,"zone1_gulberg-M3_S2_N8",-1708,894,20
"zone1","gulberg-M3",2,"gulberg-M3 - Street 2","Home 15","home",9,"zone1_gulberg-M3_S2_Loc9",-1686,914,"zone1","gulberg-M3","gulberg-M3 - Street 2",2,9,"zone1_gulberg-M3_S2_N9",-1686,894,20
"zone1","gulberg-M3",3,"gulberg-M3 - Street 3","Home 16","home",2,"zone1_gulberg-M3_S3_Loc2",-1841,874,"zone1","gulberg-M3","gulberg-M3 - Street 3",3,2,"zone1_gulberg-M3_S3_N2",-1841,854,20
"zone1","gulberg-M3",3,"gulberg-M3 - Street 3","Home 17","home",3,"zone1_gulberg-M3_S3_Loc3",-1819,874,"zone1","gulberg-M3","gulberg-M3 - Street 3",3,3,"zone1_gulberg-M3_S3_N3",-1819,854,20
"zone1","gulberg-M3",3,"gulberg-M3 - Street 3","Mall","mall",4,"zone1_gulberg-M3_S3_Loc4",-1797,874,"zone1","gulberg-M3","gulberg-M3 - Street 3",3,4,"zone1_gulberg-M3_S3_N4",-1797,854,20
"zone1","gulberg-M3",3,"gulberg-M3 - Street 3","Home 18","home",5,"zone1_gulberg-M3_S3_Loc5",-1775,874,"zone1","gulberg-M3","gulberg-M3 - Street 3",3,5,"zone1_gulberg-M3_S3_N5",-1775,854,20
"zone1","gulberg-M3",3,"gulberg-M3 - Street 3","Home 19","home",6,"zone1_gulberg-M3_S3_Loc6",-1752,874,"zone1","gulberg-M3","gulberg-M3 - Street 3",3,6,"zone1_gulberg-M3_S3_N6",-1752,854,20
"zone1","gulberg-M3",3,"gulberg-M3 - Street 3","Home 20","home",7,"zone1_gulberg-M3_S3_Loc7",-1730,874,"zone1","gulberg-M3","gulberg-M3 - Street 3",3,7,"zone1_gulberg-M3_S3_N7",-1730,854,20
"zone1","gulberg-M3",3,"gulberg-M3 - Street 3","Home 21","home",8,"zone1_gulberg-M3_S3_Loc8",-1708,874,"zone1","gulberg-M3","gulberg-M3 - Street 3",3,8,"zone1_gulberg-M3_S3_N8",-1708,854,20
"zone1","gulberg-M3",3,"gulberg-M3 - Street 3","Home 22","home",9,"zone1_gulberg-M3_S3_Loc9",-1686,874,"zone1","gulberg-M3","gulberg-M3 - Street 3",3,9,"zone1_gulberg-M3_S3_N9",-1686,854,20
"zone1","gulberg-M3",4,"gulberg-M3 - Street 4","Home 23","home",2,"zone1_gulberg-M3_S4_Loc2",-1841,834,"zone1","gulberg-M3","gulberg-M3 - Street 4",4,2,"zone1_gulberg-M3_S4_N2",-1841,814,20
"zone1","gulberg-M3",4,"gulberg-M3 - Street 4","Home 24","home",3,"zone1_gulberg-M3_S4_Loc3",-1819,834,"zone1","gulberg-M3","gulberg-M3 - Street 4",4,3,"zone1_gulberg-M3_S4_N3",-1819,814,20
"zone1","gulberg-M3",4,"gulberg-M3 - Street 4","Home 25","home",4,"zone1_gulberg-M3_S4_Loc4",-1797,834,"zone1","gulberg-M3","gulberg-M3 - Street 4",4,4,"zone1_gulberg-M3_S4_N4",-1797,814,20
"zone1","gulberg-M3",4,"gulberg-M3 - Street 4","Home 26","home",5,"zone1_gulberg-M3_S4_Loc5",-1775,834,"zone1","gulberg-M3","gulberg-M3 - Street 4",4,5,"zone1_gulberg-M3_S4_N5",-1775,814,20
"zone1","gulberg-M3",4,"gulberg-M3 - Street 4","Home 27","home",6,"zone1_gulberg-M3_S4_Loc6",-1752,834,"zone1","gulberg-M3","gulberg-M3 - Street 4",4,6,"zone1_gulberg-M3_S4_N6",-1752,814,20
"zone1","gulberg-M3",4,"gulberg-M3 - Street 4","Home 28","home",7,"zone1_gulberg-M3_S4_Loc7",-1730,834,"zone1","gulberg-M3","gulberg-M3 - Street 4",4,7,"zone1_gulberg-M3_S4_N7",-1730,814,20
"zone1","gulberg-M3",4,"gulberg-M3 - Street 4","Home 29","home",8,"zone1_gulberg-M3_S4_Loc8",-1708,834,"zone1","gulberg-M3","gulberg-M3 - Street 4",4,8,"zone1_gulberg-M3_S4_N8",-1708,814,20
"zone1","gulberg-M3",4,"gulberg-M3 - Street 4","Home 30","home",9,"zone1_gulberg-M3_S4_Loc9",-1686,834,"zone1","gulberg-M3","gulberg-M3 - Street 4",4,9,"zone1_gulberg-M3_S4_N9",-1686,814,20
"zone1","gulberg-M3",5,"gulberg-M3 - Street 5","Home 31","home",2,"zone1_gulberg-M3_S5_Loc2",-1841,794,"zone1","gulberg-M3","gulberg-M3 - Street 5",5,2,"zone1_gulberg-M3_S5_N2",-1841,774,20
"zone1","gulberg-M3",5,"gulberg-M3 - Street 5","Home 32","home",3,"zone1_gulberg-M3_S5_Loc3",-1819,794,"zone1","gulberg-M3","gulberg-M3 - Street 5",5,3,"zone1_gulberg-M3_S5_N3",-1819,774,20
"zone1","gulberg-M3",5,"gulberg-M3 - Street 5","Home 33","home",4,"zone1_gulberg-M3_S5_Loc4",-1797,794,"zone1","gulberg-M3","gulberg-M3 - Street 5",5,4,"zone1_gulberg-M3_S5_N4",-1797,774,20
"zone1","gulberg-M3",5,"gulberg-M3 - Street 5","Home 34","home",5,"zone1_gulberg-M3_S5_Loc5",-1775,794,"zone1","gulberg-M3","gulberg-M3 - Street 5",5,5,"zone1_gulberg-M3_S5_N5",-1775,774,20
"zone1","gulberg-M3",5,"gulberg-M3 - Street 5","Home 35","home",6,"zone1_gulberg-M3_S5_Loc6",-1752,794,"zone1","gulberg-M3","gulberg-M3 - Street 5",5,6,"zone1_gulberg-M3_S5_N6",-1752,774,20
"zone1","gulberg-M3",5,"gulberg-M3 - Street 5","Home 36","home",7,"zone1_gulberg-M3_S5_Loc7",-1730,794,"zone1","gulberg-M3","gulberg-M3 - Street 5",5,7,"zone1_gulberg-M3_S5_N7",-1730,774,20
"zone1","gulberg-M3",5,"gulberg-M3 - Street 5","Home 37","home",8,"zone1_gulberg-M3_S5_Loc8",-1708,794,"zone1","gulberg-M3","gulberg-M3 - Street 5",5,8,"zone1_gulberg-M3_S5_N8",-1708,774,20
"zone1","gulberg-M3",5,"gulberg-M3 - Street 5","Home 38","home",9,"zone1_gulberg-M3_S5_Loc9",-1686,794,"zone1","gulberg-M3","gulberg-M3 - Street 5",5,9,"zone1_gulberg-M3_S5_N9",-1686,774,20
"zone1","gulberg-M3",6,"gulberg-M3 - Street 6","Hospital","hospital",2,"zone1_gulberg-M3_S6_Loc2",-1841,754,"zone1","gulberg-M3","gulberg-M3 - Street 6",6,2,"zone1_gulberg-M3_S6_N2",-1841,734,20
"zone1","gulberg-M3",6,"gulberg-M3 - Street 6","Home 39","home",3,"zone1_gulberg-M3_S6_Loc3",-1819,754,"zone1","gulberg-M3","gulberg-M3 - Street 6",6,3,"zone1_gulberg-M3_S6_N3",-1819,734,20
"zone1","gulberg-M3",6,"gulberg-M3 - Street 6","Home 40","home",4,"zone1_gulberg-M3_S6_Loc4",-1797,754,"zone1","gulberg-M3","gulberg-M3 - Street 6",6,4,"zone1_gulberg-M3_S6_N4",-1797,734,20
"zone1","gulberg-M3",6,"gulberg-M3 - Street 6","Home 41","home",5,"zone1_gulberg-M3_S6_Loc5",-1775,754,"zone1","gulberg-M3","gulberg-M3 - Street 6",6,5,"zone1_gulberg-M3_S6_N5",-1775,734,20
"zone1","gulberg-M3",6,"gulberg-M3 - Street 6","Home 42","home",6,"zone1_gulberg-M3_S6_Loc6",-1752,754,"zone1","gulberg-M3","gulberg-M3 - Street 6",6,6,"zone1_gulberg-M3_S6_N6",-1752,734,20
"zone1","gulberg-M3",6,"gulberg-M3 - Street 6","Home 43","home",7,"zone1_gulberg-M3_S6_Loc7",-1730,754,"zone1","gulberg-M3","gulberg-M3 - Street 6",6,7,"zone1_gulberg-M3_S6_N7",-1730,734,20
"zone1","gulberg-M3",6,"gulberg-M3 - Street 6","Home 44","home",8,"zone1_gulberg-M3_S6_Loc8",-1708,754,"zone1","gulberg-M3","gulberg-M3 - Street 6",6,8,"zone1_gulberg-M3_S6_N8",-1708,734,20
"zone1","gulberg-M3",6,"gulberg-M3 - Street 6","Home 45","home",9,"zone1_gulberg-M3_S6_Loc9",-1686,754,"zone1","gulberg-M3","gulberg-M3 - Street 6",6,9,"zone1_gulberg-M3_S6_N9",-1686,734,20
"zone1","gulberg-M2",1,"gulberg-M2 - Street 1","Home 1","home",2,"zone1_gulberg-M2_S1_Loc2",-2141,954,"zone1","gulberg-M2","gulberg-M2 - Street 1",1,2,"zone1_gulberg-M2_S1_N2",-2141,934,20
"zone1","gulberg-M2",1,"gulberg-M2 - Street 1","Home 2","home",3,"zone1_gulberg-M2_S1_Loc3",-2119,954,"zone1","gulberg-M2","gulberg-M2 - Street 1",1,3,"zone1_gulberg-M2_S1_N3",-2119,934,20
"zone1","gulberg-M2",1,"gulberg-M2 - Street 1","Home 3","home",4,"zone1_gulberg-M2_S1_Loc4",-2097,954,"zone1","gulberg-M2","gulberg-M2 - Street 1",1,4,"zone1_gulberg-M2_S1_N4",-2097,934,20
"zone1","gulberg-M2",1,"gulberg-M2 - Street 1","Home 4","home",5,"zone1_gulberg-M2_S1_Loc5",-2075,954,"zone1","gulberg-M2","gulberg-M2 - Street 1",1,5,"zone1_gulberg-M2_S1_N5",-2075,934,20
"zone1","gulberg-M2",1,"gulberg-M2 - Street 1","Home 5","home",6,"zone1_gulberg-M2_S1_Loc6",-2052,954,"zone1","gulberg-M2","gulberg-M2 - Street 1",1,6,"zone1_gulberg-M2_S1_N6",-2052,934,20
"zone1","gulberg-M2",1,"gulberg-M2 - Street 1","Home 6","home",7,"zone1_gulberg-M2_S1_Loc7",-2030,954,"zone1","gulberg-M2","gulberg-M2 - Street 1",1,7,"zone1_gulberg-M2_S1_N7",-2030,934,20
"zone1","gulberg-M2",1,"gulberg-M2 - Street 1","Home 7","home",8,"zone1_gulberg-M2_S1_Loc8",-2008,954,"zone1","gulberg-M2","gulberg-M2 - Street 1",1,8,"zone1_gulberg-M2_S1_N8",-2008,934,20
"zone1","gulberg-M2",1,"gulberg-M2 - Street 1","Hospital","hospital",9,"zone1_gulberg-M2_S1_Loc9",-1986,954,"zone1","gulberg-M2","gulberg-M2 - Street 1",1,9,"zone1_gulberg-M2_S1_N9",-1986,934,20
"zone1","gulberg-M2",2,"gulberg-M2 - Street 2","Home 8","home",2,"zone1_gulberg-M2_S2_Loc2",-2141,914,"zone1","gulberg-M2","gulberg-M2 - Street 2",2,2,"zone1_gulberg-M2_S2_N2",-2141,894,20
"zone1","gulberg-M2",2,"gulberg-M2 - Street 2","Home 9","home",3,"zone1_gulberg-M2_S2_Loc3",-2119,914,"zone1","gulberg-M2","gulberg-M2 - Street 2",2,3,"zone1_gulberg-M2_S2_N3",-2119,894,20
"zone1","gulberg-M2",2,"gulberg-M2 - Street 2","Home 10","home",4,"zone1_gulberg-M2_S2_Loc4",-2097,914,"zone1","gulberg-M2","gulberg-M2 - Street 2",2,4,"zone1_gulberg-M2_S2_N4",-2097,894,20
"zone1","gulberg-M2",2,"gulberg-M2 - Street 2","Home 11","home",5,"zone1_gulberg-M2_S2_Loc5",-2075,914,"zone1","gulberg-M2","gulberg-M2 - Street 2",2,5,"zone1_gulberg-M2_S2_N5",-2075,894,20
"zone1","gulberg-M2",2,"gulberg-M2 - Street 2","Home 12","home",6,"zone1_gulberg-M2_S2_Loc6",-2052,914,"zone1","gulberg-M2","gulberg-M2 - Street 2",2,6,"zone1_gulberg-M2_S2_N6",-2052,894,20
"zone1","gulberg-M2",2,"gulberg-M2 - Street 2","Home 13","home",7,"zone1_gulberg-M2_S2_Loc7",-2030,914,"zone1","gulberg-M2","gulberg-M2 - Street 2",2,7,"zone1_gulberg-M2_S2_N7",-2030,894,20
