Zone Name,Colony Name,Street No,Street Name,Node No,Node ID,X Coordinate (m),Y Coordinate (m),Connection Type,Connected To Zone,Connected To Colony,Connected To Street,Connected To Street No,Connected To Node No,Connected Node ID,Connected Node X (m),Connected Node Y (m),Edge Weight (m)
zone1,gulberg-T1,1,gulberg-T1 - Street 1,10,zone1_gulberg-T1_S1_N10,-2314,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,10,zone1_gulberg-T1_S2_N10,-2314,1234,40
zone1,gulberg-T1,1,gulberg-T1 - Street 1,10,zone1_gulberg-T1_S1_N10,-2314,1274,Street Edge,zone1,gulberg-T2,gulberg-T2 - Street 1,1,1,zone1_gulberg-T2_S1_N1,-2214,1274,100
zone1,gulberg-T1,2,gulberg-T1 - Street 2,1,zone1_gulberg-T1_S2_N1,-2514,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,2,zone1_gulberg-T1_S2_N2,-2491,1234,23
zone1,gulberg-T1,2,gulberg-T1 - Street 2,1,zone1_gulberg-T1_S2_N1,-2514,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,1,zone1_gulberg-T1_S1_N1,-2514,1274,40
zone1,gulberg-T1,2,gulberg-T1 - Street 2,1,zone1_gulberg-T1_S2_N1,-2514,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,1,zone1_gulberg-T1_S3_N1,-2514,1194,40
zone1,gulberg-T1,2,gulberg-T1 - Street 2,2,zone1_gulberg-T1_S2_N2,-2491,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,1,zone1_gulberg-T1_S2_N1,-2514,1234,23
zone1,gulberg-T1,2,gulberg-T1 - Street 2,2,zone1_gulberg-T1_S2_N2,-2491,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,3,zone1_gulberg-T1_S2_N3,-2469,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,2,zone1_gulberg-T1_S2_N2,-2491,1234,Street Edge,No Zone,None,None,0,825,Free_N825,-2491,1254,20
zone1,gulberg-T1,2,gulberg-T1 - Street 2,3,zone1_gulberg-T1_S2_N3,-2469,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,2,zone1_gulberg-T1_S2_N2,-2491,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,3,zone1_gulberg-T1_S2_N3,-2469,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,4,zone1_gulberg-T1_S2_N4,-2447,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,3,zone1_gulberg-T1_S2_N3,-2469,1234,Street Edge,No Zone,None,None,0,826,Free_N826,-2469,1254,20
zone1,gulberg-T1,2,gulberg-T1 - Street 2,4,zone1_gulberg-T1_S2_N4,-2447,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,3,zone1_gulberg-T1_S2_N3,-2469,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,4,zone1_gulberg-T1_S2_N4,-2447,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,5,zone1_gulberg-T1_S2_N5,-2425,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,4,zone1_gulberg-T1_S2_N4,-2447,1234,Street Edge,No Zone,None,None,0,827,Free_N827,-2447,1254,20
zone1,gulberg-T1,2,gulberg-T1 - Street 2,5,zone1_gulberg-T1_S2_N5,-2425,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,4,zone1_gulberg-T1_S2_N4,-2447,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,5,zone1_gulberg-T1_S2_N5,-2425,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,6,zone1_gulberg-T1_S2_N6,-2402,1234,23
zone1,gulberg-T1,2,gulberg-T1 - Street 2,5,zone1_gulberg-T1_S2_N5,-2425,1234,Street Edge,No Zone,None,None,0,828,Free_N828,-2425,1254,20
zone1,gulberg-T1,2,gulberg-T1 - Street 2,6,zone1_gulberg-T1_S2_N6,-2402,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,5,zone1_gulberg-T1_S2_N5,-2425,1234,23
zone1,gulberg-T1,2,gulberg-T1 - Street 2,6,zone1_gulberg-T1_S2_N6,-2402,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,7,zone1_gulberg-T1_S2_N7,-2380,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,6,zone1_gulberg-T1_S2_N6,-2402,1234,Street Edge,No Zone,None,None,0,829,Free_N829,-2402,1254,20
zone1,gulberg-T1,2,gulberg-T1 - Street 2,7,zone1_gulberg-T1_S2_N7,-2380,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,6,zone1_gulberg-T1_S2_N6,-2402,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,7,zone1_gulberg-T1_S2_N7,-2380,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,8,zone1_gulberg-T1_S2_N8,-2358,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,7,zone1_gulberg-T1_S2_N7,-2380,1234,Street Edge,No Zone,None,None,0,830,Free_N830,-2380,1254,20
zone1,gulberg-T1,2,gulberg-T1 - Street 2,8,zone1_gulberg-T1_S2_N8,-2358,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,7,zone1_gulberg-T1_S2_N7,-2380,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,8,zone1_gulberg-T1_S2_N8,-2358,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,9,zone1_gulberg-T1_S2_N9,-2336,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,8,zone1_gulberg-T1_S2_N8,-2358,1234,Street Edge,No Zone,None,None,0,831,Free_N831,-2358,1254,20
zone1,gulberg-T1,2,gulberg-T1 - Street 2,9,zone1_gulberg-T1_S2_N9,-2336,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,8,zone1_gulberg-T1_S2_N8,-2358,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,9,zone1_gulberg-T1_S2_N9,-2336,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,10,zone1_gulberg-T1_S2_N10,-2314,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,9,zone1_gulberg-T1_S2_N9,-2336,1234,Street Edge,No Zone,None,None,0,832,Free_N832,-2336,1254,20
zone1,gulberg-T1,2,gulberg-T1 - Street 2,10,zone1_gulberg-T1_S2_N10,-2314,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,9,zone1_gulberg-T1_S2_N9,-2336,1234,22
zone1,gulberg-T1,2,gulberg-T1 - Street 2,10,zone1_gulberg-T1_S2_N10,-2314,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,10,zone1_gulberg-T1_S1_N10,-2314,1274,40
zone1,gulberg-T1,2,gulberg-T1 - Street 2,10,zone1_gulberg-T1_S2_N10,-2314,1234,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,10,zone1_gulberg-T1_S3_N10,-2314,1194,40
zone1,gulberg-T1,2,gulberg-T1 - Street 2,10,zone1_gulberg-T1_S2_N10,-2314,1234,Street Edge,zone1,gulberg-T2,gulberg-T2 - Street 2,2,1,zone1_gulberg-T2_S2_N1,-2214,1234,100
zone1,gulberg-T1,3,gulberg-T1 - Street 3,1,zone1_gulberg-T1_S3_N1,-2514,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,2,zone1_gulberg-T1_S3_N2,-2491,1194,23
zone1,gulberg-T1,3,gulberg-T1 - Street 3,1,zone1_gulberg-T1_S3_N1,-2514,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,1,zone1_gulberg-T1_S2_N1,-2514,1234,40
zone1,gulberg-T1,3,gulberg-T1 - Street 3,1,zone1_gulberg-T1_S3_N1,-2514,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,1,zone1_gulberg-T1_S4_N1,-2514,1154,40
zone1,gulberg-T1,3,gulberg-T1 - Street 3,2,zone1_gulberg-T1_S3_N2,-2491,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,1,zone1_gulberg-T1_S3_N1,-2514,1194,23
zone1,gulberg-T1,3,gulberg-T1 - Street 3,2,zone1_gulberg-T1_S3_N2,-2491,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,3,zone1_gulberg-T1_S3_N3,-2469,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,2,zone1_gulberg-T1_S3_N2,-2491,1194,Street Edge,No Zone,None,None,0,833,Free_N833,-2491,1214,20
zone1,gulberg-T1,3,gulberg-T1 - Street 3,3,zone1_gulberg-T1_S3_N3,-2469,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,2,zone1_gulberg-T1_S3_N2,-2491,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,3,zone1_gulberg-T1_S3_N3,-2469,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,4,zone1_gulberg-T1_S3_N4,-2447,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,3,zone1_gulberg-T1_S3_N3,-2469,1194,Street Edge,No Zone,None,None,0,834,Free_N834,-2469,1214,20
zone1,gulberg-T1,3,gulberg-T1 - Street 3,4,zone1_gulberg-T1_S3_N4,-2447,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,3,zone1_gulberg-T1_S3_N3,-2469,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,4,zone1_gulberg-T1_S3_N4,-2447,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,5,zone1_gulberg-T1_S3_N5,-2425,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,4,zone1_gulberg-T1_S3_N4,-2447,1194,Street Edge,No Zone,None,None,0,835,Free_N835,-2447,1214,20
zone1,gulberg-T1,3,gulberg-T1 - Street 3,5,zone1_gulberg-T1_S3_N5,-2425,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,4,zone1_gulberg-T1_S3_N4,-2447,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,5,zone1_gulberg-T1_S3_N5,-2425,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,6,zone1_gulberg-T1_S3_N6,-2402,1194,23
zone1,gulberg-T1,3,gulberg-T1 - Street 3,5,zone1_gulberg-T1_S3_N5,-2425,1194,Street Edge,No Zone,None,None,0,836,Free_N836,-2425,1214,20
zone1,gulberg-T1,3,gulberg-T1 - Street 3,6,zone1_gulberg-T1_S3_N6,-2402,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,5,zone1_gulberg-T1_S3_N5,-2425,1194,23
zone1,gulberg-T1,3,gulberg-T1 - Street 3,6,zone1_gulberg-T1_S3_N6,-2402,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,7,zone1_gulberg-T1_S3_N7,-2380,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,6,zone1_gulberg-T1_S3_N6,-2402,1194,Street Edge,No Zone,None,None,0,837,Free_N837,-2402,1214,20
zone1,gulberg-T1,3,gulberg-T1 - Street 3,7,zone1_gulberg-T1_S3_N7,-2380,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,6,zone1_gulberg-T1_S3_N6,-2402,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,7,zone1_gulberg-T1_S3_N7,-2380,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,8,zone1_gulberg-T1_S3_N8,-2358,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,7,zone1_gulberg-T1_S3_N7,-2380,1194,Street Edge,No Zone,None,None,0,838,Free_N838,-2380,1214,20
zone1,gulberg-T1,3,gulberg-T1 - Street 3,8,zone1_gulberg-T1_S3_N8,-2358,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,7,zone1_gulberg-T1_S3_N7,-2380,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,8,zone1_gulberg-T1_S3_N8,-2358,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,9,zone1_gulberg-T1_S3_N9,-2336,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,8,zone1_gulberg-T1_S3_N8,-2358,1194,Street Edge,No Zone,None,None,0,839,Free_N839,-2358,1214,20
zone1,gulberg-T1,3,gulberg-T1 - Street 3,9,zone1_gulberg-T1_S3_N9,-2336,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,8,zone1_gulberg-T1_S3_N8,-2358,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,9,zone1_gulberg-T1_S3_N9,-2336,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,10,zone1_gulberg-T1_S3_N10,-2314,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,9,zone1_gulberg-T1_S3_N9,-2336,1194,Street Edge,No Zone,None,None,0,840,Free_N840,-2336,1214,20
zone1,gulberg-T1,3,gulberg-T1 - Street 3,10,zone1_gulberg-T1_S3_N10,-2314,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,9,zone1_gulberg-T1_S3_N9,-2336,1194,22
zone1,gulberg-T1,3,gulberg-T1 - Street 3,10,zone1_gulberg-T1_S3_N10,-2314,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,10,zone1_gulberg-T1_S2_N10,-2314,1234,40
zone1,gulberg-T1,3,gulberg-T1 - Street 3,10,zone1_gulberg-T1_S3_N10,-2314,1194,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,10,zone1_gulberg-T1_S4_N10,-2314,1154,40
zone1,gulberg-T1,3,gulberg-T1 - Street 3,10,zone1_gulberg-T1_S3_N10,-2314,1194,Street Edge,zone1,gulberg-T2,gulberg-T2 - Street 3,3,1,zone1_gulberg-T2_S3_N1,-2214,1194,100
zone1,gulberg-T1,4,gulberg-T1 - Street 4,1,zone1_gulberg-T1_S4_N1,-2514,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,2,zone1_gulberg-T1_S4_N2,-2491,1154,23
zone1,gulberg-T1,4,gulberg-T1 - Street 4,1,zone1_gulberg-T1_S4_N1,-2514,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,1,zone1_gulberg-T1_S3_N1,-2514,1194,40
zone1,gulberg-T1,4,gulberg-T1 - Street 4,1,zone1_gulberg-T1_S4_N1,-2514,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 5,5,1,zone1_gulberg-T1_S5_N1,-2514,1114,40
zone1,gulberg-T1,4,gulberg-T1 - Street 4,2,zone1_gulberg-T1_S4_N2,-2491,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,1,zone1_gulberg-T1_S4_N1,-2514,1154,23
zone1,gulberg-T1,4,gulberg-T1 - Street 4,2,zone1_gulberg-T1_S4_N2,-2491,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,3,zone1_gulberg-T1_S4_N3,-2469,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,2,zone1_gulberg-T1_S4_N2,-2491,1154,Street Edge,No Zone,None,None,0,841,Free_N841,-2491,1174,20
zone1,gulberg-T1,4,gulberg-T1 - Street 4,3,zone1_gulberg-T1_S4_N3,-2469,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,2,zone1_gulberg-T1_S4_N2,-2491,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,3,zone1_gulberg-T1_S4_N3,-2469,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,4,zone1_gulberg-T1_S4_N4,-2447,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,3,zone1_gulberg-T1_S4_N3,-2469,1154,Street Edge,No Zone,None,None,0,842,Free_N842,-2469,1174,20
zone1,gulberg-T1,4,gulberg-T1 - Street 4,4,zone1_gulberg-T1_S4_N4,-2447,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,3,zone1_gulberg-T1_S4_N3,-2469,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,4,zone1_gulberg-T1_S4_N4,-2447,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,5,zone1_gulberg-T1_S4_N5,-2425,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,4,zone1_gulberg-T1_S4_N4,-2447,1154,Street Edge,No Zone,None,None,0,843,Free_N843,-2447,1174,20
zone1,gulberg-T1,4,gulberg-T1 - Street 4,5,zone1_gulberg-T1_S4_N5,-2425,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,4,zone1_gulberg-T1_S4_N4,-2447,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,5,zone1_gulberg-T1_S4_N5,-2425,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,6,zone1_gulberg-T1_S4_N6,-2402,1154,23
zone1,gulberg-T1,4,gulberg-T1 - Street 4,5,zone1_gulberg-T1_S4_N5,-2425,1154,Street Edge,No Zone,None,None,0,844,Free_N844,-2425,1174,20
zone1,gulberg-T1,4,gulberg-T1 - Street 4,6,zone1_gulberg-T1_S4_N6,-2402,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,5,zone1_gulberg-T1_S4_N5,-2425,1154,23
zone1,gulberg-T1,4,gulberg-T1 - Street 4,6,zone1_gulberg-T1_S4_N6,-2402,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,7,zone1_gulberg-T1_S4_N7,-2380,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,6,zone1_gulberg-T1_S4_N6,-2402,1154,Street Edge,No Zone,None,None,0,845,Free_N845,-2402,1174,20
zone1,gulberg-T1,4,gulberg-T1 - Street 4,7,zone1_gulberg-T1_S4_N7,-2380,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,6,zone1_gulberg-T1_S4_N6,-2402,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,7,zone1_gulberg-T1_S4_N7,-2380,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,8,zone1_gulberg-T1_S4_N8,-2358,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,7,zone1_gulberg-T1_S4_N7,-2380,1154,Street Edge,No Zone,None,None,0,846,Free_N846,-2380,1174,20
zone1,gulberg-T1,4,gulberg-T1 - Street 4,8,zone1_gulberg-T1_S4_N8,-2358,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,7,zone1_gulberg-T1_S4_N7,-2380,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,8,zone1_gulberg-T1_S4_N8,-2358,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,9,zone1_gulberg-T1_S4_N9,-2336,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,8,zone1_gulberg-T1_S4_N8,-2358,1154,Street Edge,No Zone,None,None,0,847,Free_N847,-2358,1174,20
zone1,gulberg-T1,4,gulberg-T1 - Street 4,9,zone1_gulberg-T1_S4_N9,-2336,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,8,zone1_gulberg-T1_S4_N8,-2358,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,9,zone1_gulberg-T1_S4_N9,-2336,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,10,zone1_gulberg-T1_S4_N10,-2314,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,9,zone1_gulberg-T1_S4_N9,-2336,1154,Street Edge,No Zone,None,None,0,848,Free_N848,-2336,1174,20
zone1,gulberg-T1,4,gulberg-T1 - Street 4,10,zone1_gulberg-T1_S4_N10,-2314,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,9,zone1_gulberg-T1_S4_N9,-2336,1154,22
zone1,gulberg-T1,4,gulberg-T1 - Street 4,10,zone1_gulberg-T1_S4_N10,-2314,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 3,3,10,zone1_gulberg-T1_S3_N10,-2314,1194,40
zone1,gulberg-T1,4,gulberg-T1 - Street 4,10,zone1_gulberg-T1_S4_N10,-2314,1154,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 5,5,10,zone1_gulberg-T1_S5_N10,-2314,1114,40
zone1,gulberg-T1,4,gulberg-T1 - Street 4,10,zone1_gulberg-T1_S4_N10,-2314,1154,Street Edge,zone1,gulberg-T2,gulberg-T2 - Street 4,4,1,zone1_gulberg-T2_S4_N1,-2214,1154,100
zone1,gulberg-T1,5,gulberg-T1 - Street 5,1,zone1_gulberg-T1_S5_N1,-2514,1114,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 5,5,2,zone1_gulberg-T1_S5_N2,-2491,1114,23
zone1,gulberg-T1,5,gulberg-T1 - Street 5,1,zone1_gulberg-T1_S5_N1,-2514,1114,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 4,4,1,zone1_gulberg-T1_S4_N1,-2514,1154,40
